DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-08-18 09:57:26,4584.599121,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletTaken,8,36,12,7,0,0,8.408,125.000,0,2,,,,,,,,,,,,,,,,
2026-08-18 10:01:25,4824.223145,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,8,36,12,7,0,0,,,,,Disabled,23.8,45.6,1014.6,12.8,0.018,18.000,249256,339956,246240,1104,4.17,97.98
2026-08-18 10:11:26,5425.488770,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,8,39,13,7,0,0,,,,,Disabled,23.9,45.9,1014.6,12.8,0.000,10.000,249256,339956,246240,1243,4.17,97.98
2026-08-18 10:16:33,5733.624023,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletDrop,9,45,13,7,0,0,,,,,,,,,,,,,,,,,,,,
2026-08-18 10:16:39,5739.104980,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletTaken,9,45,13,7,0,0,4.878,106.000,0,3,,,,,,,,,,,,,,,,
2026-08-18 10:21:28,6027.953125,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,9,46,13,8,0,0,,,,,Disabled,23.9,45.7,1014.5,12.8,0.014,20.000,249256,339956,246240,1383,4.17,97.82
2026-08-18 10:31:31,6632.190918,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,9,46,15,8,0,0,,,,,Disabled,23.9,45.7,1014.6,12.8,0.000,0.000,249256,339956,246240,1522,4.17,97.82
2026-08-18 10:32:36,6697.040039,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletDrop,10,55,16,8,0,0,,,,,,,,,,,,,,,,,,,,
2026-08-18 10:32:46,6706.693848,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletTaken,10,55,16,8,0,0,9.035,88.000,0,2,,,,,,,,,,,,,,,,
2026-08-18 10:40:05,7146.789062,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletDrop,11,66,19,10,0,0,,,,,,,,,,,,,,,,,,,,
2026-08-18 10:40:16,7157.804199,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletTaken,11,66,19,10,0,0,10.411,116.000,0,2,,,,,,,,,,,,,,,,
2026-08-18 10:41:34,7235.606934,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,24.0,45.4,1014.6,12.7,0.000,14.000,249256,339956,246240,1672,4.17,97.50
2026-08-18 10:51:36,7838.423828,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,24.0,45.3,1014.6,12.8,0.011,14.000,249256,339956,246240,1809,4.17,97.50
2026-08-18 11:01:38,8441.207031,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,24.0,45.2,1014.6,12.8,0.025,24.000,249256,339956,246240,1946,4.17,97.34
2026-08-18 11:11:40,9044.026367,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,24.0,45.1,1014.7,12.8,0.011,18.000,249256,339956,246240,2083,4.16,97.34
2026-08-18 11:21:43,9646.830078,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.9,44.9,1014.7,12.8,0.007,17.000,249256,339956,246240,2220,4.17,97.34
2026-08-18 11:31:45,10249.613281,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.9,44.8,1014.7,12.8,0.007,16.000,249256,339956,246240,2357,4.16,97.18
2026-08-18 11:41:47,10852.430664,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.8,44.8,1014.7,12.9,0.007,17.000,249256,339956,246240,2494,4.15,97.18
2026-08-18 11:51:49,11455.234375,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.8,44.7,1014.5,12.9,0.011,16.000,249256,339956,246240,2631,4.16,97.03
2026-08-18 12:01:51,12058.016602,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.8,44.7,1014.4,12.9,0.007,17.000,249256,339956,246240,2768,4.16,97.03
2026-08-18 12:11:54,12660.834961,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.7,44.7,1014.4,13.0,0.018,19.000,249256,339956,246240,2905,4.16,96.87
2026-08-18 12:21:56,13263.636719,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.7,44.6,1014.3,13.0,0.018,16.000,249256,339956,246240,3042,4.16,96.87
2026-08-18 12:31:58,13866.435547,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.6,44.6,1014.3,13.0,0.007,16.000,249256,339956,246240,3179,4.16,96.71
2026-08-18 12:42:00,14469.239258,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.6,44.6,1014.2,13.0,0.007,16.000,249256,339956,246240,3316,4.16,96.71
2026-08-18 12:52:02,15072.041992,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.6,44.6,1014.1,13.0,0.000,12.000,249256,339956,246240,3453,4.15,96.55
2026-08-18 13:02:04,15674.839844,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.5,44.6,1014.0,13.0,0.000,15.000,249256,339956,246240,3590,4.16,96.55
2026-08-18 13:12:07,16277.642578,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.5,44.6,1013.9,13.0,0.000,13.000,249256,339956,246240,3727,4.16,96.39
2026-08-18 13:22:09,16880.457031,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,11,66,19,10,0,0,,,,,Disabled,23.5,44.5,1013.8,13.0,0.000,11.000,249256,339956,246240,3864,4.16,96.39
2026-08-18 13:25:47,17098.615234,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletDrop,12,67,19,10,0,0,,,,,,,,,,,,,,,,,,,,
2026-08-18 13:26:07,17118.640625,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletTaken,12,67,19,10,0,0,19.420,32.000,0,2,,,,,,,,,,,,,,,,
2026-08-18 13:26:43,17154.533203,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletDrop,13,69,19,10,0,0,,,,,,,,,,,,,,,,,,,,
2026-08-18 13:26:44,17155.746094,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletNotDetected,13,69,19,10,0,0,,,,,,,,,,,,,,,,,,,,
2026-08-18 13:27:17,17188.953125,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletDrop,14,72,19,10,0,0,,,,,,,,,,,,,,,,,,,,
2026-08-18 13:27:31,17202.574219,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletTaken,14,72,19,10,0,0,13.018,323.000,0,3,,,,,,,,,,,,,,,,
2026-08-18 13:32:09,17481.630859,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,14,72,19,10,0,0,,,,,Disabled,23.6,44.3,1013.7,12.9,0.000,12.000,249196,339956,246240,3996,4.16,96.23
2026-08-18 13:42:13,18085.787109,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,Status,14,72,22,10,0,0,,,,,Disabled,23.6,44.5,1013.6,12.8,0.000,8.000,249196,339956,246240,4136,4.16,96.23
2026-08-18 13:49:56,18549.105469,B8DB8AF16E20,0003,male,C57BL/6,1.1.1,FR1_Approach,0,PelletDrop,15,76,23,10,0,0,,,,,,,,,,,,,,,,,,,,
