DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-07-14 12:24:07,57.105999,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Startup,0,0,0,0,0,0,,,,,0.0,23.8,44.2,1018.3,14.9,33.199,14802.000,246300,339964,244156,0,4.13,94.18
2026-07-14 12:24:30,80.196999,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Left,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:24:38,87.697998,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,PelletDrop,1,1,0,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:24:59,108.511002,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,PelletTaken,1,1,0,0,0,0,TimedOut,112.000,0,3,,,,,,,,,,,,,
2026-07-14 12:27:54,283.791992,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Left,1,2,0,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:28:10,299.917999,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,PelletDrop,2,2,0,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:28:31,320.735992,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,PelletTaken,2,2,0,0,0,0,TimedOut,211.000,0,6,,,,,,,,,,,,,
2026-07-14 12:33:13,603.471985,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Status,2,2,0,0,0,0,,,,,Disabled,24.0,42.5,1018.2,14.3,7.117,2839.000,247264,339964,244156,109,4.07,91.96
2026-07-14 12:43:16,1206.439941,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Status,2,2,0,0,0,0,,,,,Disabled,23.9,43.1,1018.2,14.0,4.248,1430.000,249104,339964,187548,239,4.08,90.07
2026-07-14 12:54:31,1693.110962,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Right,2,2,1,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 12:56:28,1810.415039,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Status,2,2,1,0,0,0,,,,,Disabled,23.9,44.2,1018.2,13.7,0.050,36.000,247920,339964,180372,368,4.07,88.64
2026-07-14 13:06:12,2394.788086,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Right,2,2,2,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:06:29,2411.483887,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Status,2,2,2,0,0,0,,,,,Disabled,23.9,44.1,1018.2,13.7,0.043,36.000,247920,339964,180372,498,4.07,87.78
2026-07-14 13:16:31,3014.427979,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Status,2,2,2,0,0,0,,,,,Disabled,23.9,43.9,1018.1,13.6,0.054,38.000,247920,339964,180372,628,4.07,87.06
2026-07-14 13:21:51,3334.636963,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Right,2,2,3,0,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:21:56,3339.908936,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Center,2,2,3,1,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:22:07,3351.008057,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Left,2,3,3,1,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:22:15,3358.509033,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,PelletDrop,3,3,3,1,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:22:24,3368.101074,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,PelletTaken,3,3,3,1,0,0,8.782,12.000,0,3,,,,,,,,,,,,,
2026-07-14 13:23:08,3411.354004,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Left,3,4,3,1,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:23:13,3416.652100,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,PelletDrop,4,4,3,1,0,0,,,,,,,,,,,,,,,,,
2026-07-14 13:23:34,3437.454102,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,PelletTaken,4,4,3,1,0,0,TimedOut,133.000,0,2,,,,,,,,,,,,,
2026-07-14 13:24:36,3500.227051,B8DB8AF16E20,0002,male,C57BL/6,1.1.1,FR1,0,Left,4,5,3,1,0,0,,,,,,,,,,,,,,,,,
